,ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,Title-Tokens,Author-Tokens,Publisher-Tokens
4147,0451203054,Praying for Sleep,jeffrey deaver,2001,Signet Book,"['praying', 'sleep']","['jeffrey', 'deaver']","['signet', 'book']"
4148,0451184734,Blood Relations,barbara parker,1997,Signet Book,"['blood', 'relation']","['barbara', 'parker']","['signet', 'book']"
4149,0316779989,Holidays on Ice: Stories,david sedaris,1997,"Little, Brown","['holiday', 'ice', 'story']","['david', 'sedaris']","['little', 'brown']"
4150,0671568183,The Late Child,larry mcmurtry,1996,Pocket,"['late', 'child']","['larry', 'mcmurtry']",['pocket']
4151,0446603716,Hide & Seek,james patterson,1996,Warner Books,"['hide', 'seek']","['james', 'patterson']",['warner']
4152,0380726289,"Darkness, Take My Hand (Patrick Kenzie/Angela Gennaro Novels)",dennis lehane,1997,HarperTorch,"['darkness', 'take', 'hand', 'patrick', 'kenzieangela', 'gennaro', 'novel']","['dennis', 'lehane']",['harpertorch']
4153,0440193613,Wanderlust,danielle steel,1987,Dell,['wanderlust'],"['danielle', 'steel']",['dell']
4154,0679764895,"Mr. Wilson's Cabinet Of Wonder : Pronged Ants, Horned Humans, Mice on Toast, and Other Marvels of Jurassic Technology",lawrence weschler,1996,Vintage,"['mr', 'wilson', 'cabinet', 'wonder', 'pronged', 'ant', 'horned', 'human', 'mouse', 'toast', 'marvel', 'jurassic', 'technology']","['lawrence', 'weschler']",['vintage']
4155,0743418166,Good in Bed,jennifer weiner,2001,Atria,"['good', 'bed']","['jennifer', 'weiner']",['atrium']
4156,0440235774,Looking Back,belva plain,2002,Dell Publishing Company,"['looking', 'back']","['belva', 'plain']","['dell', 'company']"
4157,0061094404,Power of a Woman,barbara taylor bradford,1998,HarperTorch,"['power', 'woman']","['barbara', 'taylor', 'bradford']",['harpertorch']
4158,0515133418,Summer in Eclipse Bay,jayne ann krentz,2002,Jove Books,"['summer', 'eclipse', 'bay']","['jayne', 'ann', 'krentz']",['jove']
4159,0743460529,Daddy's Little Girl,mary higgins clark,2003,Pocket,"['daddy', 'little', 'girl']","['mary', 'higgins', 'clark']",['pocket']
4160,0140386335,The Neverending Story,michael ende,1996,Puffin Books,"['neverending', 'story']","['michael', 'ende']",['puffin']
4161,0373825013,"Whirlwind (Tyler, Book 1)",nancy martin,1992,Harlequin,"['whirlwind', 'tyler', 'book', '1']","['nancy', 'martin']",['harlequin']
4162,0373825021,"Tyler #2 Bright Hopes (Tyler, No. 2)",pat warren,1992,Harlequin,"['tyler', '2', 'bright', 'hope', 'tyler', '2']","['pat', 'warren']",['harlequin']
4163,0449148408,False Prophet: A Peter Decker/Rina Lazarus Mystery (Peter Decker & Rina Lazarus Novels (Paperback)),faye kellerman,1994,Fawcett Books,"['false', 'prophet', 'peter', 'deckerrina', 'lazarus', 'mystery', 'peter', 'decker', 'rina', 'lazarus', 'novel']","['faye', 'kellerman']",['fawcett']
4164,0345359321,Travels,michael crichton,1989,Ballantine Books,['travel'],"['michael', 'crichton']",['ballantine']
4165,0140131612,Lake Wobegon Days (Wisconsin),garrison keillor,1995,Penguin Books,"['lake', 'wobegon', 'day', 'wisconsin']","['garrison', 'keillor']",['penguin']
4166,0446609951,The Letter of the Law,tim green,2001,Warner Books,"['letter', 'law']","['tim', 'green']",['warner']
4167,0451157443,Carrie,stephen king,1994,Signet Book,['carrie'],"['stephen', 'king']","['signet', 'book']"
4168,0060175680,Switcheroo,olivia goldsmith,1998,HarperCollins Publishers,['switcheroo'],"['olivia', 'goldsmith']","['harpercollins', 'publisher']"
4169,0671867083,REMEMBER ME,mary higgins clark,1994,Simon & Schuster,['remember'],"['mary', 'higgins', 'clark']","['simon', 'schuster']"
4170,0446605360,Twanged,carol higgins clark,1999,Warner Books,['twanged'],"['carol', 'higgins', 'clark']",['warner']
4171,0671741209,Stranger Is Watching,mary higgins clark,1991,Pocket,"['stranger', 'watching']","['mary', 'higgins', 'clark']",['pocket']
4172,0671880314,Schindler's List,thomas keneally,1993,Touchstone,"['schindlers', 'list']","['thomas', 'keneally']",['touchstone']
4173,038550120X,A Painted House,john grisham,2001,Doubleday,"['painted', 'house']","['john', 'grisham']",['doubleday']
4174,0670860743,Bed & Breakfast,lois battle,1996,Viking Books,"['bed', 'breakfast']","['lois', 'battle']",['viking']
4175,0451209486,Killer Hair,ellen byerrum,2003,Signet Book,"['killer', 'hair']","['ellen', 'byerrum']","['signet', 'book']"
4176,0446513067,The General's Daughter,nelson demille,1992,Warner Books,"['general', 'daughter']","['nelson', 'demille']",['warner']
4177,0380977729,Sugarplum Dead: A Death on Demand Mystery (Death on Demand Mysteries (Hardcover)),carolyn g hart,2000,William Morrow & Company,"['sugarplum', 'dead', 'death', 'demand', 'mystery', 'death', 'demand', 'mystery', 'hardcover']","['carolyn', 'g', 'hart']","['william', 'morrow', 'company']"
4178,0380977737,Resort To Murder: A Henrie O Mystery,carolyn g hart,2001,William Morrow & Company,"['resort', 'murder', 'henrie', 'mystery']","['carolyn', 'g', 'hart']","['william', 'morrow', 'company']"
4179,038549730X,The Vine of Desire: A Novel,chitra banerjee divakaruni,2003,Anchor Books/Doubleday,"['vine', 'desire', 'novel']","['chitra', 'banerjee', 'divakaruni']","['anchor', 'booksdoubleday']"
4180,0446391581,A Whack on the Side of the Head: How You Can Be More Creative,roger von oech,1990,Warner Books,"['whack', 'side', 'head', 'creative']","['roger', 'von', 'oech']",['warner']
4181,0812967240,It's My F---ing Birthday : A Novel,merrill markoe,2002,Villard,"['fing', 'birthday', 'novel']","['merrill', 'markoe']",['villard']
4182,0804105146,My Secret History,paul theroux,1990,Ivy Books,"['secret', 'history']","['paul', 'theroux']",['ivy']
4183,1551665301,Book Club,mary alice monroe,1999,Mira,"['book', 'club']","['mary', 'alice', 'monroe']",['mira']
4184,0064404773,Beauty: A Retelling of the Story of Beauty and the Beast,robin mckinley,1993,HarperCollins Publishers,"['beauty', 'retelling', 'story', 'beauty', 'beast']","['robin', 'mckinley']","['harpercollins', 'publisher']"
4185,0380756234,Night Storm,catherine coulter,1990,Avon,"['night', 'storm']","['catherine', 'coulter']",['avon']
4186,0446603856,The Enemy Within,larry bond,1997,Warner Books,"['enemy', 'within']","['larry', 'bond']",['warner']
4187,0684852047,SPENDING: A Novel,mary gordon,1999,Scribner,"['spending', 'novel']","['mary', 'gordon']",['scribner']
4188,0812589041,Ender's Game,orson scott card,1999,Tor Books,"['enders', 'game']","['orson', 'scott', 'card']",['tor']
4189,1588720020,Crossing Over,john edward,2001,John Edward (HAYLO),['crossing'],"['john', 'edward']","['john', 'edward', 'haylo']"
4190,0345333853,Mists of Avalon,marion zimmer bradley,1985,Del Rey Books,"['mist', 'avalon']","['marion', 'zimmer', 'bradley']","['del', 'rey']"
4191,0060937866,A Year at the Movies : One Man's Filmgoing Odyssey,kevin murphy,2002,Perennial Currents,"['year', 'movie', 'one', 'man', 'filmgoing', 'odyssey']","['kevin', 'murphy']","['perennial', 'current']"
4192,0060198125,Coastliners : A Novel,joanne harris,2002,William Morrow,"['coastliners', 'novel']","['joanne', 'harris']","['william', 'morrow']"
4193,0345452569,A Cold Heart (Alex Delaware Novels (Paperback)),jonathan kellerman,2003,Ballantine Books,"['cold', 'heart', 'alex', 'delaware', 'novel']","['jonathan', 'kellerman']",['ballantine']
4194,1582343586,"Hey Nostradamus! : A Novel (Coupland, Douglas)",douglas coupland,2003,Bloomsbury USA,"['hey', 'nostradamus', 'novel', 'coupland', 'douglas']","['douglas', 'coupland']","['bloomsbury', 'usa']"
4195,0061091464,The Thief of Always,clive barker,1993,HarperTorch,"['thief', 'always']","['clive', 'barker']",['harpertorch']
4196,0912670096,The Yellow Wallpaper (Feminist Press Reprint No. 3),charlotte perkins gilman,1977,Consortium Book Sales & Dist,"['yellow', 'wallpaper', 'feminist', 'press', 'reprint', '3']","['charlotte', 'perkins', 'gilman']","['consortium', 'book', 'sale', 'dist']"
4197,0385497520,The Child in Time,ian mcewan,1999,Anchor Books/Doubleday,"['child', 'time']","['ian', 'mcewan']","['anchor', 'booksdoubleday']"
4198,0743203968,The Body Artist: A Novel,don delillo,2002,Scribner,"['body', 'artist', 'novel']","['don', 'delillo']",['scribner']
4199,0385247958,1001 Things Everyone Should Know About Science,james trefil,1992,Doubleday Books,"['1001', 'thing', 'everyone', 'know', 'science']","['james', 'trefil']",['doubleday']
4200,0486284670,Room With a View (Dover Thrift Edition),foester em,1995,Dover Publications,"['room', 'view', 'dover', 'thrift', 'edition']","['foester', 'em']","['dover', 'publication']"
4201,0670825379,The Satanic Verses,salman rushdie,1989,Viking Books,"['satanic', 'verse']","['salman', 'rushdie']",['viking']
4202,0449217191,The Edge,dick francis,1990,Fawcett Books,['edge'],"['dick', 'francis']",['fawcett']
4203,0151009988,Mrs. Dalloway,virginia woolf,2002,Harcourt,"['mr', 'dalloway']","['virginia', 'woolf']",['harcourt']
4204,0440127793,Galapagos,kurt jr vonnegut,1986,Dell,['galapagos'],"['kurt', 'jr', 'vonnegut']",['dell']
4205,0156106809,The Baron in the Trees,italo calvino,1977,Harcourt,"['baron', 'tree']","['italo', 'calvino']",['harcourt']
4206,0765108674,"Politically Correct, the Ultimate Storybook: Politically Correct Bedtime Stories, Once upon a More Enlightened Time, and Politically Correct Holiday Stories",james finn garner,1998,Smithmark Publishers,"['politically', 'correct', 'ultimate', 'storybook', 'politically', 'correct', 'bedtime', 'story', 'upon', 'enlightened', 'time', 'politically', 'correct', 'holiday', 'story']","['james', 'finn', 'garner']","['smithmark', 'publisher']"
4207,014230218X,The Dreaming Place,charles de lint,2002,Firebird Books,"['dreaming', 'place']","['charles', 'de', 'lint']",['firebird']
4208,0385502532,Drowning Ruth,christina schwarz,2000,Doubleday,"['drowning', 'ruth']","['christina', 'schwarz']",['doubleday']
4209,0743236742,The Ultimate Weight Solution: The 7 Keys to Weight Loss Freedom,phil mcgraw,2003,Free Press,"['ultimate', 'weight', 'solution', '7', 'key', 'weight', 'loss', 'freedom']","['phil', 'mcgraw']",['free']
4210,1400060737,The Birth of Venus,sarah dunant,2004,Random House,"['birth', 'venus']","['sarah', 'dunant']","['random', 'house']"
4211,0060520612,The Proper Care and Feeding of Husbands,laura schlessinger,2003,HarperCollins,"['proper', 'care', 'feeding', 'husband']","['laura', 'schlessinger']",['harpercollins']
4212,0375413596,The White,deborah larsen,2002,Alfred A. Knopf,['white'],"['deborah', 'larsen']","['alfred', 'knopf']"
4213,034543739X,Until the Real Thing Comes Along (Ballantine Reader's Circle),elizabeth berg,2000,Ballantine Books,"['real', 'thing', 'come', 'along', 'ballantine', 'reader', 'circle']","['elizabeth', 'berg']",['ballantine']
4214,0553268937,The Water Is Wide,pat conroy,1987,Bantam,"['water', 'wide']","['pat', 'conroy']",['bantam']
4215,0060192704,"Beauty Fades, Dumb Is Forever: The Making of a Happy Woman",judy sheindlin,1999,Cliff Street Books,"['beauty', 'fade', 'dumb', 'forever', 'making', 'happy', 'woman']","['judy', 'sheindlin']","['cliff', 'street']"
4216,0890877033,Living Juicy: Daily Morsels for Your Creative Soul,sark,1994,Celestial Arts,"['living', 'juicy', 'daily', 'morsel', 'creative', 'soul']",['sark'],"['celestial', 'art']"
4217,0684835975,We'll Meet Again,mary higgins clark,1999,Simon & Schuster,"['well', 'meet']","['mary', 'higgins', 'clark']","['simon', 'schuster']"
4218,0380722704,Charms for Easy Life,kaye gibbons,1994,Avon,"['charm', 'easy', 'life']","['kaye', 'gibbons']",['avon']
4219,0553263226,The Bourne Supremacy,robert ludlum,1987,Bantam,"['bourne', 'supremacy']","['robert', 'ludlum']",['bantam']
4220,0671525425,Heaven,vc andrews,1985,Pocket,['heaven'],"['vc', 'andrews']",['pocket']
4221,0671507397,BONECRACK,dick francis,1983,Pocket,['bonecrack'],"['dick', 'francis']",['pocket']
4222,0373218397,Summer Pleasures,nora roberts,2002,Silhouette,"['summer', 'pleasure']","['nora', 'roberts']",['silhouette']
4223,0373441614,Cooking Up Trouble / Kiss the Cook,molly okeefe,2003,Harlequin,"['cooking', 'trouble', 'kiss', 'cook']","['molly', 'okeefe']",['harlequin']
4224,050552533X,Traveler (Wildside Romance),melanie jackson,2003,Love Spell,"['traveler', 'wildside', 'romance']","['melanie', 'jackson']","['love', 'spell']"
4225,0060934425,"The Binding Chair : or, A Visit from the Foot Emancipation Society",kathryn harrison,2001,Perennial,"['binding', 'chair', 'visit', 'foot', 'emancipation', 'society']","['kathryn', 'harrison']",['perennial']
4226,1566190304,Collected Poems of Emily Dickinson,emily dickinson,1974,Barnes Noble,"['collected', 'poem', 'emily', 'dickinson']","['emily', 'dickinson']","['barnes', 'noble']"
4227,0425179885,The Devil's Code,john sandford,2004,Berkley Publishing Group,"['devil', 'code']","['john', 'sandford']","['berkley', 'group']"
4228,0020442203,"Lion, the Witch and the Wardrobe",cs lewis,1970,MacMillan Publishing Company.,"['lion', 'witch', 'wardrobe']","['cs', 'lewis']","['macmillan', 'company']"
4229,0553211374,Persuasion,jane austen,1984,Bantam Books,['persuasion'],"['jane', 'austen']",['bantam']
4230,0553204572,All Things Wise and Wonderful,james herriot,1981,Bantam Doubleday Dell,"['thing', 'wise', 'wonderful']","['james', 'herriot']","['bantam', 'doubleday', 'dell']"
4231,0425175111,A Stitch in Time (Needlecraft Mysteries),monica ferris,2000,Prime Crime,"['stitch', 'time', 'needlecraft', 'mystery']","['monica', 'ferris']","['prime', 'crime']"
4232,0671001132,DEAD BY SUNSET : DEAD BY SUNSET,ann rule,1996,Pocket,"['dead', 'sunset', 'dead', 'sunset']","['ann', 'rule']",['pocket']
4233,0671793535,A Rose For Her Grave & Other True Cases (Ann Rule's Crime Files),ann rule,1993,Pocket,"['rose', 'grave', 'true', 'case', 'ann', 'rule', 'crime', 'file']","['ann', 'rule']",['pocket']
4234,0671868691,Bitter Harvest,ann rule,1999,Pocket,"['bitter', 'harvest']","['ann', 'rule']",['pocket']
4235,0671793543,You Belong to Me and Other True Cases (Ann Rule's Crime Files: Vol. 2),ann rule,1994,Pocket,"['belong', 'true', 'case', 'ann', 'rule', 'crime', 'file', 'vol', '2']","['ann', 'rule']",['pocket']
4236,0671025341,"A Rage To Kill and Other True Cases : Anne Rule's Crime Files, Vol. 6 (Ann Rule's Crime Files)",ann rule,1999,Pocket,"['rage', 'kill', 'true', 'case', 'anne', 'rule', 'crime', 'file', 'vol', '6', 'ann', 'rule', 'crime', 'file']","['ann', 'rule']",['pocket']
4237,0812572122,A Stir of Echoes,richard matheson,1999,Tor Books,"['stir', 'echo']","['richard', 'matheson']",['tor']
4238,0446601977,Parable of the Sower,octavia e butler,1995,Warner Books,"['parable', 'sower']","['octavia', 'e', 'butler']",['warner']
4239,0393307050,Master and Commander (Aubrey-Maturin (Paperback)),patrick obrian,1990,W. W. Norton & Company,"['master', 'commander', 'aubreymaturin']","['patrick', 'obrian']","['ww', 'norton', 'company']"
4240,0452282934,Backpack,emily barr,2002,Plume Books,['backpack'],"['emily', 'barr']",['plume']
4241,0679722637,The Thin Man (Vintage Crime/Black Lizard),dashiell hammett,1992,Vintage Books USA,"['thin', 'man', 'vintage', 'crimeblack', 'lizard']","['dashiell', 'hammett']","['vintage', 'usa']"
4242,0804109192,Sacrifice,andrew h vachss,1992,Ivy Books,['sacrifice'],"['andrew', 'h', 'vachss']",['ivy']
4243,0375414053,"I Don't Know How She Does It: The Life of Kate Reddy, Working Mother",allison pearson,2002,Alfred A. Knopf,"['dont', 'know', 'life', 'kate', 'reddy', 'working', 'mother']","['allison', 'pearson']","['alfred', 'knopf']"
4244,1400046610,Slander: Liberal Lies About the American Right,ann coulter,2002,Crown,"['slander', 'liberal', 'lie', 'american', 'right']","['ann', 'coulter']",['crown']
4245,0312868855,Hell House,richard matheson,1999,Tor Books,"['hell', 'house']","['richard', 'matheson']",['tor']
4246,0812519329,Psycho,robert bloch,1989,Tor Books,['psycho'],"['robert', 'bloch']",['tor']
4247,0441001971,Circus of the Damned (Anita Blake Vampire Hunter (Paperback)),laurell k hamilton,1995,Ace Books,"['circus', 'damned', 'anita', 'blake', 'vampire', 'hunter']","['laurell', 'k', 'hamilton']",['ace']
4248,0684810395,Pretend You Don't See Her,mary higgins clark,1997,Simon & Schuster,"['pretend', 'dont', 'see']","['mary', 'higgins', 'clark']","['simon', 'schuster']"
4249,0399143874,Homeport,nora roberts,1998,Putnam Publishing Group,['homeport'],"['nora', 'roberts']","['putnam', 'group']"
4250,0070064601,Family: The Ties That Bind and Gag!,erma bombeck,1987,McGraw-Hill Companies,"['family', 'tie', 'bind', 'gag']","['erma', 'bombeck']","['mcgrawhill', 'company']"
4251,0373711050,The Healer  (Deep in the Heart),jean brashear,2003,Harlequin,"['healer', 'deep', 'heart']","['jean', 'brashear']",['harlequin']
4252,0373218419,Blithe Images,nora roberts,2003,Silhouette,"['blithe', 'image']","['nora', 'roberts']",['silhouette']
4253,0440222842,Five Days in Paris,danielle steel,1997,Dell,"['five', 'day', 'paris']","['danielle', 'steel']",['dell']
4254,0399141227,Montana Sky,nora roberts,1996,Putnam Publishing Group,"['montana', 'sky']","['nora', 'roberts']","['putnam', 'group']"
4255,0553379011,The Story of B,daniel quinn,1997,Bantam,"['story', 'b']","['daniel', 'quinn']",['bantam']
4256,0385319851,At Weddings and Wakes,alice mcdermott,1999,Delta Trade Paperbacks,"['wedding', 'wake']","['alice', 'mcdermott']","['delta', 'trade']"
4257,0440418321,"The Golden Compass (His Dark Materials, Book 1)",philip pullman,2001,Yearling,"['golden', 'compass', 'dark', 'material', 'book', '1']","['philip', 'pullman']",['yearling']
4258,0316789976,The Weight of Water : A Novel Tag - Author of Resistance and Strange Fits of Passion,anita shreve,1997,"Little, Brown","['weight', 'water', 'novel', 'tag', 'author', 'resistance', 'strange', 'fit', 'passion']","['anita', 'shreve']","['little', 'brown']"
4259,1568360428,The Delany Sisters' Book of Everyday Wisdom,sarah louise delany,1994,Kodansha America,"['delany', 'sister', 'book', 'everyday', 'wisdom']","['sarah', 'louise', 'delany']","['kodansha', 'america']"
4260,0671519816,Inca Gold (Clive Cussler),clive cussler,1995,Pocket,"['inca', 'gold', 'clive', 'cussler']","['clive', 'cussler']",['pocket']
4261,042518109X,Whispers,dean r koontz,2001,Berkley Publishing Group,['whisper'],"['dean', 'r', 'koontz']","['berkley', 'group']"
4262,0061097861,Hunting Badger (Joe Leaphorn/Jim Chee Novels),tony hillerman,2000,HarperCollins,"['hunting', 'badger', 'joe', 'leaphornjim', 'chee', 'novel']","['tony', 'hillerman']",['harpercollins']
4263,0446609145,Void Moon,michael connelly,2001,Warner Vision,"['void', 'moon']","['michael', 'connelly']","['warner', 'vision']"
4264,0553575406,Murder on the Prowl,rita mae brown,1999,Bantam,"['murder', 'prowl']","['rita', 'mae', 'brown']",['bantam']
4265,0380797631,Last Days of Summer,steve kluger,1999,Perennial,"['last', 'day', 'summer']","['steve', 'kluger']",['perennial']
4266,0553213237,A Room With a View (Classic),em forster,1988,Bantam,"['room', 'view', 'classic']","['em', 'forster']",['bantam']
4267,0679433740,Paradise,toni morrison,1998,Alfred A. Knopf,['paradise'],"['toni', 'morrison']","['alfred', 'knopf']"
4268,0375703063,A Virtuous Woman (Oprah's Book Club (Paperback)),kaye gibbons,1997,Vintage Books,"['virtuous', 'woman', 'oprahs', 'book', 'club']","['kaye', 'gibbons']",['vintage']
4269,0345343697,Off for the Sweet Hereafter,tr pearson,1987,Ballantine Books,"['sweet', 'hereafter']","['tr', 'pearson']",['ballantine']
4270,0553351672,Doomsday Book,connie willis,1992,Spectra Books,"['doomsday', 'book']","['connie', 'willis']",['spectrum']
4271,1573222127,Miracle at St. Anna,james mcbride,2002,Riverhead Books,"['miracle', 'st', 'anna']","['james', 'mcbride']",['riverhead']
4272,0451523326,Jane Eyre,charlotte bronte,1988,Signet Classics,"['jane', 'eyre']","['charlotte', 'bronte']","['signet', 'classic']"
4273,0140434003,Jane Eyre (Penguin Classics),charlotte bronte,1996,Penguin Books,"['jane', 'eyre', 'penguin', 'classic']","['charlotte', 'bronte']",['penguin']
4274,038079439X,Expendable,james alan gardner,1999,Eos,['expendable'],"['james', 'alan', 'gardner']",['eos']
4275,0553577905,Windhaven,george rr martin,2003,Spectra Books,['windhaven'],"['george', 'rr', 'martin']",['spectrum']
4276,0451402391,The Search for the Green River Killer,carlton smith,1991,Onyx Books,"['search', 'green', 'river', 'killer']","['carlton', 'smith']",['onyx']
4277,0395877334,The Lost Language of Cranes,david leavitt,1997,Mariner Books,"['lost', 'language', 'crane']","['david', 'leavitt']",['mariner']
4278,0679409041,Queen of the Turtle Derby and Other Southern Phenomena,julia reed,2004,Random House,"['queen', 'turtle', 'derby', 'southern', 'phenomenon']","['julia', 'reed']","['random', 'house']"
4279,0316782653,The Dangerous Husband : A Novel,jane shapiro,2000,Back Bay Books,"['dangerous', 'husband', 'novel']","['jane', 'shapiro']","['back', 'bay']"
4280,0525945814,Falling Angels,tracy chevalier,2001,Dutton Books,"['falling', 'angel']","['tracy', 'chevalier']",['dutton']
4281,0060934913,Kitchen Confidential: Adventures in the Culinary Underbelly,anthony bourdain,2001,Ecco,"['kitchen', 'confidential', 'adventure', 'culinary', 'underbelly']","['anthony', 'bourdain']",['ecco']
4282,0899193625,"The Beans of Egypt, Maine",carolyn chute,1985,Ticknor & Fields,"['bean', 'egypt', 'maine']","['carolyn', 'chute']","['ticknor', 'field']"
4283,0060974486,Immortality,milan kundera,1992,Perennial,['immortality'],"['milan', 'kundera']",['perennial']
4284,0679736042,Toujours Provence (Vintage Departures),peter mayle,1992,Vintage Books USA,"['toujours', 'provence', 'vintage', 'departure']","['peter', 'mayle']","['vintage', 'usa']"
4285,0679441247,Encore Provence,peter mayle,1999,Alfred A. Knopf,"['encore', 'provence']","['peter', 'mayle']","['alfred', 'knopf']"
4286,0156005891,Eden Close,anita shreve,1998,Harvest Books,"['eden', 'close']","['anita', 'shreve']",['harvest']
4287,076790592X,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",mitch albom,2002,Broadway,"['tuesday', 'morrie', 'old', 'man', 'young', 'man', 'life', 'greatest', 'lesson']","['mitch', 'albom']",['broadway']
4288,0618526412,The Heart Is a Lonely Hunter (Oprah's Book Club),carson mccullers,2004,Houghton Mifflin Co,"['heart', 'lonely', 'hunter', 'oprahs', 'book', 'club']","['carson', 'mccullers']","['houghton', 'mifflin', 'co']"
4289,0380815591,The Mermaids Singing,lisa carey,2001,Perennial,"['mermaid', 'singing']","['lisa', 'carey']",['perennial']
4290,0060652934,The Screwtape Letters,cs lewis,2001,Harper SanFrancisco,"['screwtape', 'letter']","['cs', 'lewis']","['harper', 'sanfrancisco']"
4291,1582341427,The Heart Is Deceitful Above All Things,jt leroy,2001,Bloomsbury Publishing PLC,"['heart', 'deceitful', 'thing']","['jt', 'leroy']","['bloomsbury', 'plc']"
4292,0688174035,More Than You Know: A Novel,beth gutcheon,2000,William Morrow & Company,"['know', 'novel']","['beth', 'gutcheon']","['william', 'morrow', 'company']"
4293,0618246967,The Best American Nonrequired Reading 2003 (Best American Nonrequired Reading),dave eggers,2003,Houghton Mifflin Company,"['best', 'american', 'nonrequired', 'reading', '2003', 'best', 'american', 'nonrequired', 'reading']","['dave', 'eggers']","['houghton', 'mifflin', 'company']"
4294,0670032891,The Well of Lost Plots: A Thursday Next Novel,jasper fforde,2004,Viking Books,"['well', 'lost', 'plot', 'thursday', 'next', 'novel']","['jasper', 'fforde']",['viking']
4295,1931520003,Stranger Things Happen,kelly link,2001,Small Beer Press,"['stranger', 'thing', 'happen']","['kelly', 'link']","['small', 'beer']"
4296,0552997706,Telling Liddy: A Sour Commedy,anne fine,1999,Black Swab,"['telling', 'liddy', 'sour', 'commedy']","['anne', 'fine']","['black', 'swab']"
4297,0380807939,A Season Beyond a Kiss,kathleen e woodiwiss,2000,Avon Trade,"['season', 'beyond', 'kiss']","['kathleen', 'e', 'woodiwiss']","['avon', 'trade']"
4298,0446602736,Border Music,robert james waller,1996,Warner Books,"['border', 'music']","['robert', 'james', 'waller']",['warner']
4299,0425098400,Celestial Navigation,anne tyler,1993,Ivy Books,"['celestial', 'navigation']","['anne', 'tyler']",['ivy']
4300,0446360589,The Burden of Proof,scott turow,1991,Warner Books,"['burden', 'proof']","['scott', 'turow']",['warner']
4301,0385315090,Mirror Image,danielle steel,1998,Delacorte Press,"['mirror', 'image']","['danielle', 'steel']",['delacorte']
4302,0385311923,Lightning,danielle steel,1995,Delacorte Press,['lightning'],"['danielle', 'steel']",['delacorte']
4303,0440500729,Star,danielle steel,1989,Delacorte Press,['star'],"['danielle', 'steel']",['delacorte']
4304,0385297661,Daddy,danielle steel,1989,Delacorte Press,['daddy'],"['danielle', 'steel']",['delacorte']
4305,0385306024,Accident,danielle steel,1994,Delacorte Press,['accident'],"['danielle', 'steel']",['delacorte']
4306,0345362721,Peachtree Road,anne rivers siddons,1989,Ballantine Books,"['peachtree', 'road']","['anne', 'rivers', 'siddons']",['ballantine']
4307,0446802204,Master of the Game,sidney sheldon,1983,Not Avail,"['master', 'game']","['sidney', 'sheldon']",['avail']
4308,0446329894,If Tomorrow Comes,sidney sheldon,1986,Warner Books> C/o Little Br,"['tomorrow', 'come']","['sidney', 'sheldon']","['warner', 'co', 'little', 'br']"
4309,0399144587,Hush Money,robert b parker,1999,Putnam Pub Group,"['hush', 'money']","['robert', 'b', 'parker']","['putnam', 'pub', 'group']"
4310,0786889551,The Pied Piper,ridley pearson,1999,Hyperion,"['pied', 'piper']","['ridley', 'pearson']",['hyperion']
4311,0786889667,The First Victim,ridley pearson,2000,Hyperion,"['first', 'victim']","['ridley', 'pearson']",['hyperion']
4312,044023574X,After the Fire,belva plain,2001,Dell Publishing Company,['fire'],"['belva', 'plain']","['dell', 'company']"
4313,0786702141,The Mammoth Book of Historical Detectives (Mammoth Book),michael ashley,1995,Carroll & Graf Publishers,"['mammoth', 'book', 'historical', 'detective', 'mammoth', 'book']","['michael', 'ashley']","['carroll', 'graf', 'publisher']"
4314,0374503486,The Memoirs of Hadrian,marguerite yourcenar,1963,"Farrar, Straus and Giroux","['memoir', 'hadrian']","['marguerite', 'yourcenar']","['farrar', 'straus', 'giroux']"
4315,0140386351,A Girl Named Disaster,nancy farmer,1998,Puffin Books,"['girl', 'named', 'disaster']","['nancy', 'farmer']",['puffin']
4316,0452261457,"The Making of the African Queen or How I Went to Africa With Bogart, Bacall, and Huston and Almost Lost My Mind",katharine hepburn,1990,Penguin USA,"['making', 'african', 'queen', 'went', 'africa', 'bogart', 'bacall', 'huston', 'almost', 'lost', 'mind']","['katharine', 'hepburn']","['penguin', 'usa']"
4317,0553580221,False Memory,dean r koontz,2000,Bantam Books,"['false', 'memory']","['dean', 'r', 'koontz']",['bantam']
4318,0679781358,The Hottest State,ethan hawke,1997,Vintage Books USA,"['hottest', 'state']","['ethan', 'hawke']","['vintage', 'usa']"
4319,0553272616,The Unloved,john saul,1988,Bantam Books,['unloved'],"['john', 'saul']",['bantam']
4320,1570621608,When Things Fall Apart: Heart Advice for Difficult Times,pema chodron,1996,Shambhala,"['thing', 'fall', 'apart', 'heart', 'advice', 'difficult', 'time']","['pema', 'chodron']",['shambhala']
4321,0743427084,How to Practice : The Way to a Meaningful Life,the dalai lama,2001,Atria,"['practice', 'way', 'meaningful', 'life']","['the', 'dalai', 'lama']",['atrium']
4322,0385492677,"The Accidental Buddhist: Mindfulness, Enlightenment, and Sitting Still, American Style",dinty w moore,1999,Main Street Books,"['accidental', 'buddhist', 'mindfulness', 'enlightenment', 'sitting', 'still', 'american', 'style']","['dinty', 'w', 'moore']","['main', 'street']"
