ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher
0446528382,jack straight from the gut,jack welch,2001,Warner Business Books
0943233437,random acts of kindness,conari press,1993,Conari Press
0375727345,house of sand and fog,andre dubus iii,2000,Vintage Books
0156001454,winterdance the fine madness of running the iditarod,gary paulsen,1995,Harvest Books
0446608890,saving faith,david baldacci,2000,Warner Vision
0316781460,live from new york an uncensored history of saturday night live,tom shales,2002,"Little, Brown"
8466610685,el psicoanalista,john katzenbach,2003,Ediciones B
0425188787,hunting season anna pigeon novels ,nevada barr,2003,Berkley Publishing Group
0345382323,the pms outlaws  an elizabeth macpherson novel,sharyn mccrumb,2001,Bantam Books
0312983298,full speed janet evanovichs full series,janet evanovich,2003,St. Martin's Paperbacks
0553275852,the monkeys raincoat,robert crais,1992,Crimeline
0440201330,five bells and bladebone,martha grimes,1993,Dell Publishing Company
0743437640,the mulberry tree,jude deveraux,2003,Pocket
1551668912,thursdays at eight,debbie macomber,2002,Mira
0380017601,love story,erich segal,2002,HarperTorch
0671024396,the umbrella conspiracy resident evil 1,sd perry,1998,Pocket
0140346031,knights of the kitchen table time warp trio,jon scieszka,1994,Puffin Books
042515601X,acts of war tom clancys op center ,tom clancy,1997,Berkley Publishing Group
0140293442,fever pitch,nick hornby,2000,Penguin Books Ltd
0140293469,high fidelity,nick hornby,2000,Penguin Books Ltd
0920668372,love you forever,robert n munsch,1986,Firefly Books Ltd
0375703861,white teeth a novel,zadie smith,2001,Vintage Books USA
0060391537,quivers a life,robin quivers,1995,Harpercollins
0156011042,east of the mountains vintage contemporaries ,david guterson,2000,Harvest Books
0812566637,legends short novels by the masters of modern fantasy vol 1,robert silverberg,1999,Tor Books
0060391448,wicked  the life and times of the wicked witch of the west,gregory maguire,1995,HarperCollins
0684829975,the vision of emma blau,ursula hegi,2000,Simon & Schuster
0451099648,firestarter signet book,stephen king,1981,New Amer Library
0671776975,a river runs through it and other stories  and other stories,norman maclean,1992,Pocket
0440967694,the outsiders,se hinton,1993,Learning Curve
0060801115,death be not proud a memoir,john gunther,0,Harper Row
0425152251,sophies world a novel about the history of philosophy,jostein gaarder,1996,Berkley Publishing Group
0312924585,silence of the lambs,thomas harris,1991,St. Martin's Press
0684718634,cry the beloved country,alan paton,1990,Simon Schuster Trade
0385479565,the hot zone,richard preston,1995,Anchor
0743421574,shanghai baby  a novel,wei hui,2002,Washington Square Press
0140132708,midnights children,salman rushdie,1995,Penguin Books
0671578103,dragonnes eg,mary brown,1999,Baen
0756401364,long hot summoning the keepers chronicles number 3,tanya huff,2003,Daw Books
0886779758,the second summoning the keepers chronicles no 2,tanya huff,2001,Daw Books
1931561230,sleep toward heaven a novel,amanda eyre ward,2003,MacAdam/Cage Publishing
0060504072,small wonder essays,barbara kingsolver,2002,HarperCollins
0345460952,the salmon of doubt,douglas adams,2003,Ballantine Books
0312274920,round ireland with a fridge,tony hawks,2001,St. Martin's Press
0440408903,the remarkable journey of prince jen,lloyd alexander,1993,Yearling
038081658X,the fresco,sheri s tepper,2002,Eos
0380791978,the family tree,sheri s tepper,1998,Eos
0345409671,memnoch the devil vampire chronicles no 5,anne rice,1997,Ballantine Books
0380791986,six moon dance,sheri s tepper,1999,Eos
0886771544,lythande,marion zimmer bradley,1986,Daw Books
0312974485,the samurais wife a sano ichiro mystery,laura joh rowland,2001,St. Martin's Paperbacks
0312979584,black lotus a sano ichiro mystery,laura joh rowland,2002,St. Martin's Paperbacks
0553380958,snow crash bantam spectra book,neal stephenson,2000,Bantam
0380731800,sky coyote a novel of the company book 2,kage baker,2000,Eos
0142300608,fire bringer,david clementdavies,2002,Puffin Books
0380731797,in the garden of iden a novel of the company book 1,kage baker,1998,Eos
0553583891,dream island medieval trilogy,josie litton,2002,Bantam Books
0684849739,the bible code,michael drosnin,1998,Touchstone
0312171838,bachelor brothers bed  breakfast,bill richardson,1997,St. Martin's Griffin
0688175716,strange but true,john searles,2004,William Morrow
0671042505,the last chance cafe  a novel,linda lael miller,2002,Atria
0743205413,the summer of my greek taverna  a memoir,tom stone,2002,Simon & Schuster
0399147853,time and chance,sharon kay penman,2002,Putnam Publishing Group
0425162443,the rapture of canaan,sheri reynolds,1997,Berkley Publishing Group
1400060052,lucia lucia  a novel,adriana trigiani,2003,Random House
0425183238,mrs mike,benedict freedman,2002,Berkley Publishing Group
0373711646,those christmas angels harlequin superromance 1164,debbie macomber,2003,Harlequin
0345423291,what we keep  a novel ballantine readers circle,elizabeth berg,1999,Ballantine Books
0515132020,heaven and earth three sisters island trilogy,nora roberts,2003,Jove Books
0515131229,dance upon the air three sisters island trilogy,nora roberts,2003,Jove Books
0446679364,the future homemakers of america,laurie graham,2002,Warner Books
0345445732,entering normal ballantine readers circle,anne d leclaire,2002,Ballantine Books
0451410157,sweet nothings,catherine anderson,2002,Onyx Books
1570613818,book lust recommended reading for every mood moment and reason,nancy pearl,2003,Sasquatch Books
0385494149,enduring love,ian mcewan,1999,Anchor Books/Doubleday
0312199430,one thousand white women  the journals of may dodd a novel,jim fergus,1999,St. Martin's Griffin
1570089957,rebekah women of genesis women of genesis 2,orson scott card,2001,Shadow Mountain
0452282101,the debt what america owes to blacks,randall robinson,2001,Plume Books
8432210900,la aventura del tocador de senoras,eduardo mendoza,2001,Editorial Seix Barral
048627263X,flatland a romance of many dimensions dover thrift editions,edwin a abbott,1992,Dover Publications
0486270610,the gift of the magi and other short stories dover thrift editions,o henry,1992,Dover Publications
0330330373,the sculptress,minette walters,1995,Macmillan Pub Ltd
0571135390,unbearable lightness of being,milan kundera,0,Faber Faber Inc
0451183746,road to wellville,t coraghessan boyle,1994,New Amer Library (Mm)
038079487X,what looks like crazy on an ordinary day,pearl cleage,1998,Perennial
0684872153,angelas ashes mmp  a memoir,frank mccourt,1999,Scribner
0060926317,mutant message down under,marlo morgan,1995,Perennial
0140622500,lady chatterleys lover penguin popular classics,dh lawrence,1997,Penguin Books Ltd
0312421273,the corrections a novel,jonathan franzen,2002,Picador USA
0679454454,sick puppy,carl hiaasen,2000,Alfred A. Knopf
0778320294,mimosa grove mira,dinah mccall,2004,Mira
1575668572,the dragon lords daughters,bertrice small,2004,BRAVA
0380811081,again the magic,lisa kleypas,2004,Avon
0373285043,with open arms silhouette single title,nora roberts,2004,Silhouette
0399147020,blood lure,nevada barr,2001,G. P. Putnam's Sons
0062512668,the cube,annie gottlieb,1995,HarperSanFrancisco
0440241162,nerd in shining armor,vicki lewis thompson,2003,Dell Publishing Company
0786866586,shopgirl  a novella,steve martin,2000,Hyperion Press
0061092029,a marriage made in heaven  or too tired for an affair,erma bombeck,1994,HarperTorch
3492045170,stupid white men eine abrechnung mit dem amerika unter george w bush,michael moore,2003,Piper
0679756973,an anthropologist on mars seven paradoxical tales,oliver w sacks,1996,Vintage Books USA
1570625190,the tao of physics,fritjof capra,2000,Shambhala
0688156819,the melancholy death of oyster boy  and other stories,tim burton,1997,HarperEntertainment
0762403004,the worlds shortest stories murder love horror suspense all this and much more in the most amazing short stories ever written each one just 55 words long,steve moss,1998,Running Press Book Publishers
0679723226,double indemnity vintage crimeblack lizard,james m cain,1989,Vintage
0679722645,the maltese falcon vintage crimeblack lizard,dashiell hammett,1989,Vintage
0380732181,an underachievers diary,benjamin anastas,1999,Perennial
0156007754,blindness harvest book,jose saramago,1999,Harvest Books
0553371010,the complete fairy tales of the brothers grimm,jack zipes,1992,Bantam
031205436X,generation x tales for an accelerated culture,douglas coupland,1992,St. Martin's Press
1573226521,the beach,alex garland,1998,Riverhead Books
0671027638,the fuck up,arthur nersesian,1999,MTV
1573226882,fever pitch,nick hornby,1998,Riverhead Books
1573228214,high fidelity,nick hornby,2000,Riverhead Books
0316780812,sea glass a novel,anita shreve,2002,"Little, Brown"
0515119784,range of motion,elizabeth berg,1996,Jove Books
0736909672,after anne henke roxanne coming home to brewster 1,roxanne henke,2002,Harvest House Publishers
0786011963,the last to know,wendy corsi staub,2001,Pinnacle Books
0811825558,the worstcase scenario survival handbook,joshua piven,1999,Chronicle Books
0380788691,a secret history  the book of ash 1 book of ash,mary gentle,1999,Eos
0515134449,the laughing corpse anita blake vampire hunter ,laurell k hamilton,1994,Jove Books
0064407675,the reptile room a series of unfortunate events book 2,lemony snicket,1999,HarperCollins
0767902890,the things they carried,tim obrien,1998,Broadway
0061092355,star trek memories,william shatner,1994,HarperTorch
0380977788,coraline,neil gaiman,2002,HarperCollins
0441304834,guilty pleasures anita blake vampire hunter ,laurell k hamilton,1995,Ace Books
0609805002,my 1000 americans a yearlong journey through the personals,rochelle morton,2001,Three Rivers Press (CA)
0393049272,bodies in motion and at rest on metaphor and mortality,thomas lynch,2000,W.W. Norton & Company
0684853205,a mind of its own a cultural history of the penis,david m friedman,2001,Free Press
8408043641,la sombra del vientothe shadow of the wind,carlos ruiz zafon,2003,Planeta Pub Corp
0553571818,long after midnight,iris johansen,1997,Bantam
0441790348,stranger in a strange land remembering tomorrow,robert a heinlein,1995,ACE Charter
0812550390,listeners,christopher pike,1998,Tor Books (Mm)
0345377494,box socials,wp kinsella,1992,Ballantine Books
0060931809,the map that changed the world  william smith and the birth of modern geology,simon winchester,2002,Perennial
1566199697,metamorphoses and other stories,franz kafka,1996,Dorset Press
0553573403,a game of thrones a song of ice and fire book 1,george rr martin,1997,Spectra Books
0553579908,a clash of kings a song of fire and ice book 2,george rr martin,2000,Spectra Books
1885211279,theres no toilet paper on the road less traveled the best of travel humor and misadventure travelers tales guides,doug lansky,1998,Travelers' Tales Guides
0553280147,till we meet again,judith krantz,1989,Bantam Books
0345391055,disclosure,michael crichton,1994,Ballantine Books
0312979479,and then there were none  a novel,agatha christie,2001,St. Martin's Paperbacks
0375760911,the idiot girls action adventure club,laurie notaro,2002,Villard Books
0449244679,answer as a man,taylor caldwell,1982,Ballantine Books
068480087X,postcards,annie proulx,1994,Scribner
0743407067,the first time,joy fielding,2001,Pocket Star
0515131083,plantation a lowcountry tale,dorothea benton frank,2001,Jove Books
156955028X,all you really need to know about prayer you can learn from the poor,louise perrotta,1996,Servant Publications
0446679763,the red hat societytm  fun and friendship after fifty,sue ellen cooper,2004,Warner Books
0452274664,the autobiography of my mother,jamaica kincaid,1997,Plume Books
1400032806,under the banner of heaven  a story of violent faith,jon krakauer,2004,Anchor
0743243315,brick lane  a novel,monica ali,2004,Scribner
0743407059,the first time,joy fielding,2000,Atria
1400061598,the art of mending  a novel berg elizabeth,elizabeth berg,2004,Random House
0452283280,sister noon,karen joy fowler,2002,Plume Books
0743407083,grand avenue,joy fielding,2002,Pocket Star
0446532444,three weeks with my brother,micah sparks,2004,Warner Books
0446533041,good grief  a novel,lolly winston,2004,Warner Books
0375413278,rapture,susan minot,2002,Knopf
0743483014,irish girls about town  an anthology of short stories,maeve binchy,2004,Pocket
0380005239,go ask alice avonflare book,james jennings,1991,Avon Books
0064401774,more scary stories to tell in the dark,alvin schwartz,1986,HarperTrophy
0380732238,smack,melvin burgess,1999,HarperTempest
1571740562,conversations with god  an uncommon dialogue book 2,neale donald walsch,1997,Hampton Roads Publishing Company
0399142789,conversations with god  an uncommon dialogue book 1,neale donald walsch,1996,Putnam Publishing Group
0375406530,waiting,ha jin,1999,Pantheon Books
006000438X,the death of vishnu a novel,manil suri,2002,Perennial
0375412557,death in holy orders adam dalgliesh mysteries hardcover,pd james,2001,Knopf
0374129983,the corrections,jonathan franzen,2001,Farrar Straus & Giroux
067003178X,the kitchen boy,robert alexander,2003,Viking Books
0688176992,finding fish a memoir,antwone quenton fisher,2001,William Morrow & Company
0394561619,love in the time of cholera,gabriel garcia marquez,1988,Knopf
0786866470,when my sister was cleopatra moon,frances park,2000,Miramax
0385318782,talk before sleep,elizabeth berg,1997,Dell
0679437452,range of motion,elizabeth berg,1995,Random House Inc
1931561648,the time travelers wife today show book club 15,audrey niffenegger,2003,MacAdam/Cage Publishing
0060517794,little altars everywhere,rebecca wells,2003,HarperTorch
0553296124,heir to the empire star wars the thrawn trilogy vol 1,timothy zahn,1998,Bantam
0345413350,the golden compass his dark materials book 1,philip pullman,1997,Del Rey
0380701340,creed for the third millennium,colleen mccullough,1986,Avon
0679450041,the amazing adventures of kavalier  clay a novel,michael chabon,2000,Random House
0201050714,the continuum concept in search of happiness lost classics in human development,jean liedloff,1986,Addison Wesley Publishing Company
0140185011,travels with my aunt twentieth century classics,graham greene,1993,Penguin Books
0451146425,lie down with lions,ken follett,1986,New Amer Library (Mm)
0877738513,art of peace shambhala pocket classics,john stevens,1992,Shambhala
0380817446,the legend of bagger vance,steven pressfield,2000,HarperTorch
0345300203,the outside man,richard north patterson,1995,Ballantine Books
0440154731,jailbird,kurt vonnegut,1992,Dell Publishing Company
0553579835,the matarese countdown,robert ludlum,1998,Bantam Books
0345379330,mostly harmless hitchhikers trilogy no 5,douglas adams,1993,Ballantine Books
1576737330,the prayer of jabez breaking through to the blessed life,bruce wilkinson,2000,Multnomah
0590371258,out of the dust apple signature edition,karen hesse,1999,Scholastic
1573227226,lambs of god,marlene day,1999,Riverhead Books
0151446474,the name of the rose,umberto eco,1983,Harcourt
0670813028,it,stephen king,1986,Viking Books
0451197410,how stella got her groove back,terry mcmillan,1998,Signet Book
0316601950,the pilots wife  a novel,anita shreve,1999,Back Bay Books
0399151435,a death in vienna,daniel silva,2004,Putnam Publishing Group
0451210220,the first law,john t lescroart,2004,Signet Book
0399148515,the english assassin,daniel silva,2002,G. P. Putnam's Sons
0445406518,crocodile on the sandbank,elizabeth peters,1988,Warner Books
0345406141,how few remain,harry turtledove,1998,Del Rey Books
0061006629,fatherland,robert harris,1995,HarperTorch
0553563696,the hands of chaos  a death gate novel volume 5 death gate cycle ,margaret weis,1993,Bantam
0553286390,dragon wing the death gate cycle book 1,margaret weis,1990,Bantam
0345301293,blade runner,philip k dick,1982,Del Rey Books
0671832174,bk dun cow,walter wangerin,1979,Pocket
076534128X,rebekah women of genesis,orson scott card,2002,Forge Books
0345384687,the guns of the south a novel of the civil war,harry turtledove,1993,Del Rey Books
0345353749,a town like alice,nevil shute,1991,Ballantine Books
0385333498,the sirens of titan,kurt vonnegut,1998,Delta Trade Paperbacks
0345313151,bearing an hourglass incarnations of immortality ,piers anthony,1991,Del Rey Books
0345314255,sword of shannara,terry brooks,1995,Del Rey Books
0345305183,on a pale horse,piers anthony,1984,Ballantine Books
0380004933,man who fell to earth,walter tevis,1976,Avon
0451132343,firestarter,stephen king,1984,Signet Book
0451131312,night shiftchildren of corn,stephen king,1984,Signet Book
0061031429,the vendetta defense,lisa scottoline,2002,HarperTorch
0060977337,downsize this random threats from an unarmed american,michael moore,1997,Perennial
0553380168,a brief history of time  the updated and expanded tenth anniversary edition,stephen hawking,1998,Bantam
006098726X,stupid white men   and other sorry excuses for the state of the nation,michael moore,2004,Regan Books
0671504398,les miserables enriched classics,victor hugo,1983,Pocket
0553582925,tick tock,dean r koontz,2000,Bantam Books
0812545249,the chronoliths,robert charles wilson,2002,Tor Books
0553572423,the fist of god,frederick forsyth,1995,Bantam Books
0525941673,cavedweller,dorothy allison,1998,Dutton Books
0812522400,lord of the isles lord of the isles,david drake,1998,Tor Fantasy
0671722948,twelfth night,william shakespeare,1993,Washington Square Press
0140009930,day of the triffids,john wyndham,0,Penguin Putnam~mass
014027944X,armadillo,william boyd,0,Penguin Putnam~trade
0743220633,sun dog,monique roffey,2002,Simon & Schuster (Trade Division)
0751514853,supping with panthers,tom holland,1997,Time Warner Paperbacks
345386980X,der richter,john grisham,2003,Heyne
0452283930,gossip hound,wendy holden,2003,Plume Books
0553382225,the big bad wolf tells all,donna kauffman,2003,Bantam
1573227331,about a boy,nick hornby,1999,Riverhead Books
1565926730,user friendly,illiad,1999,O'Reilly
080411918X,a patchwork planet,anne tyler,2001,Ballantine Books
0553293176,dangerous,amanda quick,1993,Bantam
0316812471,revolution from within  a book of selfesteem,gloria steinem,1993,"Little, Brown"
0440222915,outlander,diana gabaldon,1996,Dell
1551668653,getting rid of bradley,jennifer crusie,2001,Mira
038079960X,the mermaids singing,lisa carey,1999,Avon
0440237300,three weeks in paris,barbara taylor bradford,2002,Dell
0066214122,prey a novel,michael crichton,2002,HarperCollins
0684803135,moral compass  stories for a lifes journey,william j bennett,1995,Simon & Schuster
0312192339,incident at twentymile,trevanian,1998,St Martins Pr
0375507523,bushwhacked  life in george w bushs america,molly ivins,2003,Random House
0140266909,please kill me the uncensored oral history of punk,legs mcneil,1997,Penguin Books
0836221192,dilbert fugitive from the cubicle police,scott adams,1996,Andrews McMeel Publishing
0446386405,how to live cat,stephen baker,1989,Warner Books
0446604275,primary colors a novel of politics,anonymous,1996,Warner Books
0679741836,molly ivins cant say that can she,molly ivins,1992,Vintage Books USA
034531798X,foundation foundation novels ,isaac asimov,1984,Del Rey Books
0812968379,funny in farsi  a memoir of growing up iranian in america,firoozeh dumas,2004,Random House Trade Paperbacks
034545071X,distant shores,kristin hannah,2002,Ballantine Books
0451188470,the love letter,cathleen schine,1996,Signet Book
006019541X,blue angel,francine prose,2000,HarperCollins Publishers
0375502238,blessings,anna quindlen,2002,Random House
0440202043,shell seekers,rosamunde pilcher,1996,Dell
0312975228,boy in the water,stephen dobyns,2000,St. Martin's Paperbacks
0590452037,maniac magee,jerry spinelli,2002,Scholastic Inc
0451183665,a case of need,michael crichton,1994,Signet Book
0553111531,darkness peering,alice blanchard,1999,Bantam Dell Pub Group
0439137411,pokemon the first movie mewtwo strikes back pokemon movie,tracey west,1999,Scholastic
0380758377,without due process,ja jance,1993,Avon
0399150897,blow fly a scarpetta novel,patricia cornwell,2003,Putnam Publishing Group
0449911160,about schmidt ballantine readers circle,louis begley,1997,Ballantine Books
0671868640,the enchanted april,elizabeth von arnim,1993,Pocket
0553247379,the mother hunt rex stout library,rex stout,1993,Bantam
0061043508,strong poison,dorothy l sayers,1995,HarperTorch
0811828964,the bad girls guide to getting what you want,cameron tuttle,2000,Chronicle Books
0786890169,black water,t jefferson parker,2003,Hyperion
074322535X,gap creek the story of a marriage,robert morgan,2001,Touchstone
0399148728,fire ice a novel from the numa files,clive cussler,2002,Putnam Publishing Group
0312264372,robert ludlums the hades factor ludlum robert covertone novels,robert ludlum,2000,St. Martin's Press
0684841185,death du jour,kathy reichs,1999,Scribner
0679463070,casual rex a novel,eric garcia,2001,Villard Books
0399146687,perish twice,robert b parker,2000,Putnam Publishing Group
0316693286,pop goes the weasel,james patterson,1999,Replica Books
0684842106,terminal event  a novel,james s thayer,1999,Simon & Schuster
0439164842,eleanor crown jewel of aquitaine france 1136 the royal diaries,kristiana gregory,2002,Scholastic
0373484887,hidden star the star series,nora roberts,2001,Silhouette
0099521016,midnight in the garden of good and evil,john berendt,0,Vintage Books
0060086246,last chance saloon,marian keyes,2003,Perennial
0451180429,the quiet game,greg iles,2000,Signet Book
0373250126,milkrun,sarah mlynowski,2001,Harlequin
0373250193,loose screws red dress ink ,karen templeton,2002,Red Dress Ink
0451410947,must love dogs,claire cook,2003,Onyx Books
038550926X,the devil wears prada  a novel,lauren weisberger,2003,Doubleday
0061010707,men women and relationships,john gray,1996,HarperCollins Publishers
3499187809,der mann der seine frau mit einem hut verwechselte  sachbuch,oliver sacks,1990,Rowohlt Tb.
3442444020,,elizabeth george,1999,Goldmann
3257229364,endstation venedig commissario brunettis zweiter fall,donna leon,1996,Diogenes Verlag
0552998001,blackberry wine,joanne harris,2001,Black Swan
3442439736,die schandmaske,minette walters,1998,Goldmann
0671004530,on the street where you live,mary higgins clark,2002,Pocket
325722575X,der hahn ist tot roman,ingrid noll,1993,Diogenes Verlag
3442413338,lauf jane lauf roman,joy fielding,1992,Goldmann
3442435366,die tote ohne namen,patricia cornwell,0,Goldmann Verlag
3499134411,stadtgeschichten band 1,armistead maupin,0,Rowholt Verlag Gmbh
0440226414,fortunes hand,belva plain,2000,Dell Publishing Company
0060959037,prodigal summer a novel,barbara kingsolver,2001,Perennial
055327886X,rubyfruit jungle,rita mae brown,1983,Bantam Books
0805036377,m is for malice kinsey millhone mysteries hardcover,sue grafton,1996,Henry Holt & Company
0688156134,stalker a novel peter decker  rina lazarus novels hardcover,faye kellerman,2000,William Morrow & Company
014028009X,bridget joness diary,helen fielding,1999,Penguin Books
0140254587,salvation on sand mountain snake handling and redemption in southern appalachia,dennis covington,1996,Penguin Books
0375708278,isaacs storm a man a time and the deadliest hurricane in history,erik larson,2000,Vintage Books USA
0425187063,death in paradise,robert b parker,2002,Berkley Publishing Group
2070408507,le petit prince,,1999,Gallimard
2253054747,ne pleure pas ma belle,mary higgins clark,1990,LGF
0446361305,queen of angels,greg bear,1991,Warner Books
3775713328,ernst luwig kirchner mountain life the early years in davos 19171926,ernst ludwig kirchner,2003,Hatje Cantz Publishers
0451524063,four major plays a doll house the wild duck hedda gabler the master builder signet classics ,henrik ibsen,1989,Signet Book
031286504X,i am legend,richard matheson,1997,Orb Books
0028604032,the new york public library science desk reference the new york public library series,patricia barnessvarney,1995,MacMillan Publishing Company.
1573220256,ethics for the new millennium,dalai lama,1999,Riverhead Books
0886778964,valors choice daw book collectors,tanya huff,2000,Daw Books
8495501112,son de mar,manuel vicent,2002,Suma de Letras
1852428112,the sexual life of catherine m,catherine millet,2002,Consortium Book Sales & Dist
0451457811,storm front the dresden files book 1,jim butcher,2000,Roc
0553342495,love medicine a novel,louise erdrich,1985,Bantam Books
0374525641,the spirit catches you and you fall down,anne fadiman,1998,"Farrar, Straus and Giroux"
059043344X,ten great mysteries by edgar allan poe,edgar allan poe,1989,Scholastic
0874775132,drawing on the right side of the brain a course in enhancing creativity and artistic confidence,betty edwards,1989,Putnam Pub Group
0375701311,martha peake a novel of the revolution,patrick mcgrath,2002,Vintage Books USA
0312244266,winter solstice,rosamunde pilcher,2000,Thomas Dunne Books
0786889098,tropical depression,laurence shames,1997,Warner Books (Mm)
0446364290,prime time,sandra brown,1995,Warner Books
0446600342,where theres smoke,sandra brown,1994,Warner Books
1551666014,tomorrows promise can the heart let go of yesterday,sandra brown,2000,Mira
0446356859,sunset embrace,sandra brown,1990,Warner Books
0446603082,sweet anger,sandra brown,1999,Warner Vision
0446360511,eloquent silence,sandra brown,1995,Warner Books
0446364312,tempest in eden,sandra brown,1996,Warner Books
0446364150,hidden fires,sandra brown,1994,Warner Books
0446356875,another dawn,sandra brown,1991,Warner Books
0446360708,love beyond reason,sandra brown,1994,Warner Books
0452282829,we were the mulvaneys,joyce carol oates,1996,Plume
0452281091,chang and eng a novel,darin strauss,2001,Plume Books
0785268839,wild at heart discovering the secret of a mans soul,john eldredge,2001,Nelson Books
0871135809,all the trouble in the world the lighter side of overpopulation famine ecological disaster ethnic hatred plague and poverty,pj orourke,1994,Pub Group West
0449219143,bethlehem road,anne perry,1997,Fawcett Books
3499156938,,roald dahl,1986,Rowohlt Tb.
347354034X,die welle,rhue,1998,"Ullstein-Taschenbuch-Verlag, Zweigniederlassung der Ullstein Buchverlage GmbH"
034540761X,the final judgment,richard north patterson,1997,Ballantine Books
0061057797,the dragon and the unicorn,aa attanasio,1997,Eos
0859696707,understanding your personality,patricia hedges,1993,Sheldon Press
1844261085,a book without covers,john andrew storey,2003,Upfront Publishing
0875420036,true magick a beginners guide llewellyns new age series,k amber,1991,Llewellyn Publications
0141001828,in the heart of the sea the tragedy of the whaleship essex,nat philbrick,2001,Penguin Books
8817131628,garzanti  gli elefanti gabbiano jonathan livingston,bach,0,Rizzoli - RCS Libri
038078520X,wed and buried bedandbreakfast mysteries ,mary daheim,1998,Avon
0312420021,a cold case,philip gourevitch,2002,Picador
0553293400,the caves of steel,isaac asimov,1991,Bantam
0060929871,brave new world,aldous huxley,1998,Perennial
0393312836,a clockwork orange norton fiction,anthony burgess,1986,W. W. Norton & Company
0553211757,crime and punishment crime  punishment,fyodor dostoevsky,1984,Bantam
0060931914,demian the story of emil sinclairs youth perennial classics,hermann hesse,1999,Perennial
0393318680,filth,irvine welsh,1998,W.W. Norton & Company
0590409433,fallen angels,walter dean myers,1991,Scholastic Paperbacks
0515093556,belinda,anne rice,1994,Jove Books
0399151850,the queen of the south,arturo perezreverte,2004,Putnam Publishing Group
0385722206,balzac and the little chinese seamstress  a novel,dai sijie,2002,Anchor
0061095540,marrying mom,olivia goldsmith,1997,HarperTorch
8817106259,seta,alessandro baricco,0,Rizzoli - RCS Libri
0679732411,gift from the sea,anne morrow lindbergh,1991,Pantheon Books
0446606243,the tenth justice,brad meltzer,1998,Warner Books
0316785261,the fig eater  a novel,jody shields,2001,Back Bay Books
0140049975,east of eden,john steinbeck,1984,Penguin Books
014062080X,the scarlet letter penguin popular classics,nathaniel hawthorne,1994,Penguin Books Ltd
0425174808,tom clancys opcenter divide and conquer tom clancys op center ,tom clancy,2000,Berkley Publishing Group
884590184X,siddharta romanzo versione di m mila,hermann hesse,0,Adelphi Book Shop Ltd
0140390847,mobydick or the whale penguin classics,herman melville,1992,Penguin Books
0451202856,nothing but the truth,john t lescroart,2001,Signet Book
0767902912,an equal music,vikram seth,1999,Bantam Dell Pub Group
039571091X,dakota a spiritual geography,kathleen norris,1993,Houghton Mifflin
0142001430,year of wonders,geraldine brooks,2002,Penguin Books
0609809547,tales of a female nomad living at large in the world,rita golden gelman,2002,Three Rivers Press (CA)
0440218667,the select,f paul wilson,1995,Dell
0142000671,of mice and men,john steinbeck,2002,Penguin Books
0425192792,goddess of the sea berkley sensation,pc cast,2003,Berkley Publishing Group
0345463404,the defiant hero,suzanne brockmann,2003,Ivy Books
0449006379,lord of fire,gaelen foley,2002,Ivy Books
0312984820,night embrace darkhunter,sherrilyn kenyon,2003,St. Martin's Paperbacks
0380764008,grime and punishment jane jeffry mysteries ,jill churchill,1992,Avon
0060549270,a greek god at the ladies club avon romance,jenna mcknight,2003,Avon
0505525305,a girls guide to vampires,katie macalister,2003,Love Spell
0060505249,wheres my hero,lisa kleypas,2003,Avon Books
0425191257,edge of the moon berkley sensation,rebecca york,2003,Berkley Publishing Group
0451458923,summer knight the dresden files book 4,jim butcher,2002,Roc
0553800914,the search,iris johansen,2000,Bantam Books
080410526X,all i really need to know,robert fulghum,1989,Ivy Books
031242227X,running with scissors a memoir,augusten burroughs,2003,Picador USA
0553250256,catcher in the rye,salinger,1984,Bantam Books
0440241812,shopaholic takes manhattan,sophie kinsella,2004,Dell Publishing
0767914767,the devil wears prada  a novel,lauren weisberger,2004,Broadway Books
0140061401,julys people,nadine gordimer,1982,Penguin Books
0679721037,hiroshima,john hersey,1989,Vintage Books USA
0142437204,jane eyre penguin classics,charlotte bronte,2003,Penguin Books
006093090X,the night listener  a novel,armistead maupin,2001,Perennial
038533494X,sometimes i dream in italian,rita ciresi,2001,Delta
0553212524,20000 leagues under the sea bantam classics,jules verne,1985,Bantam
8432216062,el perfume historia de un asesino,patrick suskind,2003,Editorial Seix Barral
0553574132,star wars shadows of the empire,steve perry,1998,Spectra Books
088029261X,complete sherlock holmes,arthur conan doyle,0,Barnes Noble
0140270590,a new song mitford years ,jan karon,2000,Viking Books
0440235596,tara road,maeve binchy,2000,Dell Publishing Company
0671619373,lady boss,jackie collins,1990,Simon & Schuster
8845249778,le ore,micheal cunningham,2003,Distribooks Inc
2070419657,soie,alessandro baricco,2001,Gallimard
0943734150,peace pilgrim her life and work in her own,peace pilgrim,1994,Ocean Tree Books
0898861098,miles from nowhere a round the world bicycle adventure,barbara savage,1985,Mountaineers Books
0679826718,the tiger in the well sally lockhart trilogy book 3,philip pullman,1992,Laurel Leaf
0679733167,sexing the cherry vintage international,jeanette winterson,1991,Vintage Books USA
0375504907,reading lolita in tehran  a memoir in books,azar nafisi,2003,Random House
0142000485,my little blue dress,bruno maddox,2002,Penguin Books
061810450X,the wind done gone a novel,alice randall,2001,Houghton Mifflin
